Date,XIU,XBB,COW,XRE
2012-09-21,18.061224,31.4,24.172186,17.031919
2012-09-24,17.959183,31.43,24.172186,17.11198
2012-09-25,17.908163,31.45,23.951435,17.101971
2012-09-26,17.887754,31.58,24.116999,17.20204
2012-09-27,18.071428,31.54,24.260485,17.212049
2012-09-28,17.969387,31.56,24.161148,17.222059
2012-10-01,18.081633,31.61,24.315674,17.12199
2012-10-02,18.132652,31.61,24.161148,17.142
2012-10-03,18.071428,31.62,24.06181,17.12199
2012-10-04,18.204082,31.51,24.094923,17.011909
2012-10-05,18.142857,31.43,24.116999,16.93185
2012-10-09,17.959183,31.43,23.951435,16.841789
2012-10-10,17.846939,31.46,23.774836,16.75173
2012-10-11,17.897959,31.46,23.863136,16.78175
2012-10-12,17.806122,31.46,23.741722,16.79175
2012-10-15,17.908163,31.46,23.874172,16.871811
2012-10-16,18.163265,31.44,24.315674,17.021919
2012-10-17,18.234694,31.32,24.15011,16.901831
2012-10-18,18.265306,31.27,24.359823,16.861799
2012-10-19,18.183674,31.37,24.249447,16.79175
2012-10-22,18.193878,31.34,24.337748,16.691681
2012-10-23,17.887754,31.4,23.929359,16.651661
2012-10-24,17.87755,31.34,24.128036,16.661659
2012-10-25,18.061224,31.22,24.083885,16.72171
2012-10-26,18.071428,31.35,24.28256,16.74172
2012-10-29,18,31.4,24.139074,16.74172
2012-10-30,18.214285,31.4,24.260485,16.811769
2012-10-31,18.244898,31.47,24.348785,16.901831
2012-11-01,18.336735,31.46,24.536423,16.99189
2012-11-02,18.153061,31.46,24.28256,16.91184
2012-11-05,18.142857,31.47,24.359823,16.76173
2012-11-06,18.163265,31.4,24.437086,16.73171
2012-11-07,17.938776,31.48,24.139074,16.691681
2012-11-08,17.846939,31.56,23.973509,16.5716
2012-11-09,17.887754,31.56,23.929359,16.58161
2012-11-12,17.908163,31.6,23.841061,16.60162
2012-11-13,17.82653,31.6,24.06181,16.51156
2012-11-14,17.489796,31.59,23.598232,16.37146
2012-11-15,17.316326,31.58,23.598232,16.251381
2012-11-16,17.418367,31.58,23.730684,16.301411
2012-11-19,17.653061,31.51,24.19426,16.52157
2012-11-20,17.693878,31.45,24.392937,16.461519
2012-11-21,17.795918,31.41,24.260485,16.451521
2012-11-22,17.867348,31.4,24.139074,16.441509
2012-11-23,17.969387,31.33,24.161148,16.481541
2012-11-26,17.969387,31.41,24.448124,16.491541
2012-11-27,17.846939,31.44,24.381899,16.461519
2012-11-28,17.908163,31.52,24.403975,16.411489
2012-11-29,18,31.47,24.624723,16.441509
2012-11-30,17.938776,31.53,24.503311,16.53157
2012-12-03,17.938776,31.53,24.437086,16.52157
2012-12-04,17.897959,31.52,24.392937,16.441509
2012-12-05,17.94898,31.55,24.503311,16.871811
2012-12-06,17.928572,31.56,24.492275,16.901831
2012-12-07,17.938776,31.5,24.525385,16.92185
2012-12-10,18.010204,31.49,24.514347,16.94186
2012-12-11,18.112246,31.49,24.724062,16.95187
2012-12-12,18.234694,31.45,24.757175,17.142
2012-12-13,18.142857,31.37,24.536423,17.17202
2012-12-14,18.091837,31.37,24.768213,17.071951
2012-12-17,18.132652,31.36,24.834436,17.031919
2012-12-18,18.234694,31.35,25.066225,17.19203
2012-12-19,18.306122,31.38,25.2649,17.041929
2012-12-20,18.32653,31.41,25.2649,17.11198
2012-12-21,18.336735,31.44,25.187637,17.0019
2012-12-24,18.183674,31.37,24.944813,16.98189
2012-12-27,18.183674,31.43,25.13245,17.061939
2012-12-28,18.142857,31.46,24.966888,17.081961
2012-12-31,18.285715,31.37,25.220751,17.20204
2013-01-02,18.438776,31.26,25.562914,17.17202
2013-01-03,18.357143,31.18,25.5298,16.93185
2013-01-04,18.44898,31.16,25.750551,17.0019
2013-01-07,18.346939,31.16,25.684328,17.051941
2013-01-08,18.336735,31.25,25.662252,17.041929
2013-01-09,18.37755,31.24,26.015451,17.071951
2013-01-10,18.520409,31.2,26.048565,17.081961
2013-01-11,18.510204,31.24,26.125828,17.071951
2013-01-14,18.530613,31.21,26.125828,17.11198
2013-01-15,18.62245,31.26,26.125828,17.18203
2013-01-16,18.561224,31.3,26.015451,17.232059
2013-01-17,18.632652,31.23,26.291389,17.242069
2013-01-18,18.724489,31.27,26.490067,17.17202
2013-01-21,18.87755,31.24,26.401766,17.232059
2013-01-22,18.918367,31.24,26.677704,17.232059
2013-01-23,18.867348,31.35,26.942604,17.272091
2013-01-24,18.938776,31.22,27.240618,17.292101
2013-01-25,18.938776,31.14,27.593819,17.222059
2013-01-28,18.94898,31.09,27.384106,17.212049
2013-01-29,18.959183,31.07,27.362032,17.142
2013-01-30,18.87755,31.07,27.251656,17.17202
2013-01-31,18.683674,31.08,27.108168,17.222059
2013-02-01,18.82653,30.97,27.174395,17.272091
2013-02-04,18.724489,31.04,26.96468,17.19203
2013-02-05,18.765306,31,27.09713,17.302111
2013-02-06,18.82653,31.07,27.064018,17.262079
2013-02-07,18.765306,31.02,26.96468,17.302111
2013-02-08,18.87755,31.09,27.152319,17.252081
2013-02-11,18.816326,31.11,27.317881,17.242069
2013-02-12,18.87755,31.05,27.174395,17.33213
2013-02-13,18.857143,31,27.185429,17.292101
2013-02-14,18.765306,31.06,27.064018,17.31212
2013-02-15,18.714285,31.03,27.240618,17.272091
2013-02-19,18.918367,31.01,27.593819,17.31212
2013-02-20,18.785715,31.05,27.086094,17.282101
2013-02-21,18.683674,31.04,26.754967,17.232059
