Date,GSPC,IXIC,DJI
2004-09-22,1113.560059000000,1885.709961000000,10109.179688000000
2004-09-23,1108.359985000000,1886.430054000000,10038.900391000000
2004-09-24,1110.109985000000,1879.479980000000,10047.240234000000
2004-09-27,1103.520020000000,1859.880005000000,9988.540039000000
2004-09-28,1110.060059000000,1869.869995000000,10077.400391000000
2004-09-29,1114.800049000000,1893.939941000000,10136.240234000000
2004-09-30,1114.579956000000,1896.839966000000,10080.269531000000
2004-10-01,1131.500000000000,1942.199951000000,10192.650391000000
2004-10-04,1135.170044000000,1952.400024000000,10216.540039000000
2004-10-05,1134.479980000000,1955.500000000000,10177.679688000000
2004-10-06,1142.050049000000,1971.030029000000,10239.919922000000
2004-10-07,1130.650024000000,1948.520020000000,10125.400391000000
2004-10-08,1122.140015000000,1919.969971000000,10055.200195000000
2004-10-11,1124.390015000000,1928.760010000000,10081.969727000000
2004-10-12,1121.839966000000,1925.170044000000,10077.179688000000
2004-10-13,1113.650024000000,1920.530029000000,10002.330078000000
2004-10-14,1103.290039000000,1903.020020000000,9894.450195000000
2004-10-15,1108.199951000000,1911.500000000000,9933.379883000000
2004-10-18,1114.020020000000,1936.520020000000,9956.320313000000
2004-10-19,1103.229980000000,1922.900024000000,9897.620117000000
2004-10-20,1103.660034000000,1932.969971000000,9886.929688000000
2004-10-21,1106.489990000000,1953.619995000000,9865.759766000000
2004-10-22,1095.739990000000,1915.140015000000,9757.809570000000
2004-10-25,1094.800049000000,1914.040039000000,9749.990234000000
2004-10-26,1111.089966000000,1928.790039000000,9888.480469000000
2004-10-27,1125.400024000000,1969.989990000000,10002.030273000000
2004-10-28,1127.439941000000,1975.739990000000,10004.540039000000
2004-10-29,1130.199951000000,1974.989990000000,10027.469727000000
2004-11-01,1130.510010000000,1979.869995000000,10054.389648000000
2004-11-02,1130.560059000000,1984.790039000000,10035.730469000000
2004-11-03,1143.199951000000,2004.329956000000,10137.049805000000
2004-11-04,1161.670044000000,2023.630005000000,10314.759766000000
2004-11-05,1166.170044000000,2038.939941000000,10387.540039000000
2004-11-08,1164.890015000000,2039.250000000000,10391.309570000000
2004-11-09,1164.079956000000,2043.329956000000,10386.370117000000
2004-11-10,1162.910034000000,2034.560059000000,10385.480469000000
2004-11-11,1173.479980000000,2061.270020000000,10469.839844000000
2004-11-12,1184.170044000000,2085.340088000000,10539.009766000000
2004-11-15,1183.810059000000,2094.090088000000,10550.240234000000
2004-11-16,1175.430054000000,2078.620117000000,10487.650391000000
2004-11-17,1181.939941000000,2099.679932000000,10549.570313000000
2004-11-18,1183.550049000000,2104.280029000000,10572.549805000000
2004-11-19,1170.339966000000,2070.629883000000,10456.910156000000
2004-11-22,1177.239990000000,2085.189941000000,10489.419922000000
2004-11-23,1176.939941000000,2084.280029000000,10492.599609000000
2004-11-24,1181.760010000000,2102.540039000000,10520.309570000000
2004-11-26,1182.650024000000,2101.969971000000,10522.230469000000
2004-11-29,1178.569946000000,2106.870117000000,10475.900391000000
2004-11-30,1173.819946000000,2096.810059000000,10428.019531000000
2004-12-01,1191.369995000000,2138.229980000000,10590.219727000000
2004-12-02,1190.329956000000,2143.570068000000,10585.120117000000
2004-12-03,1191.170044000000,2147.959961000000,10592.209961000000
2004-12-06,1190.250000000000,2151.250000000000,10547.059570000000
2004-12-07,1177.069946000000,2114.659912000000,10440.580078000000
2004-12-08,1182.810059000000,2126.110107000000,10494.230469000000
2004-12-09,1189.239990000000,2129.010010000000,10552.820313000000
2004-12-10,1188.000000000000,2128.070068000000,10543.219727000000
2004-12-13,1198.680054000000,2148.500000000000,10638.320313000000
2004-12-14,1203.380005000000,2159.840088000000,10676.450195000000
2004-12-15,1205.719971000000,2162.550049000000,10691.450195000000
2004-12-16,1203.209961000000,2146.149902000000,10705.639648000000
2004-12-17,1194.199951000000,2135.199951000000,10649.919922000000
2004-12-20,1194.650024000000,2127.850098000000,10661.599609000000
2004-12-21,1205.449951000000,2150.909912000000,10759.429688000000
2004-12-22,1209.569946000000,2157.030029000000,10815.889648000000
2004-12-23,1210.130005000000,2160.620117000000,10827.120117000000
2004-12-27,1204.920044000000,2154.219971000000,10776.129883000000
2004-12-28,1213.540039000000,2177.189941000000,10854.540039000000
2004-12-29,1213.449951000000,2177.000000000000,10829.190430000000
2004-12-30,1213.550049000000,2178.340088000000,10800.299805000000
2004-12-31,1211.920044000000,2175.439941000000,10783.009766000000
2005-01-03,1202.079956000000,2152.149902000000,10729.429688000000
2005-01-04,1188.050049000000,2107.860107000000,10630.780273000000
2005-01-05,1183.739990000000,2091.239990000000,10597.830078000000
2005-01-06,1187.890015000000,2090.000000000000,10622.879883000000
2005-01-07,1186.189941000000,2088.610107000000,10603.959961000000
2005-01-10,1190.250000000000,2097.040039000000,10621.030273000000
2005-01-11,1182.989990000000,2079.620117000000,10556.219727000000
